Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0003,0.005,-0.053,0,0,0,10.8,126,0.000264,-0.00049,0.178,0.004123,0.255,0,0,0,0,0,0,package://urdf_V4.0/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/base_link.STL,,轮腿躯干urdf_v-1;urdf新电池-1,坐标系8,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_link1,0.062,-0.006,-0.003,0,0,0,0.326,0.000518,0.00073,-8.1E-05,0.003183,-1.8E-05,0.003674,0,0,0,0,0,0,package://urdf_V4.0/meshes/L_link1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/L_link1.STL,,大腿摇杆urdf-2;小腿曲柄-2;小腿连杆1-2;小腿摇杆1-2;小腿连杆2-2,坐标系10,基准轴1,L_joint1,continuous,0.183798094345848,0,-0.000836967642744012,1.57535002938105,0,1.5707963267949,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L_link2,0.15963,8.3413E-05,0.011927,0,0,0,0.45,0.000167,8.4E-05,0.000191,0.0049,0,0.00496,0,0,0,0,0,0,package://urdf_V4.0/meshes/L_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/L_link2.STL,,小腿大杆urdf-2,坐标系11,基准轴2,L_joint2,continuous,0.21,0,0,0,0,-2.404,L_link1,0,0,1,100,1,-3.14,3.14,,,,,,,,
L_link3,0,0,0.020472,0,0,0,0.2,0.000296,0,0,0.000296,0,0.000575,0,0,0,0,0,0,package://urdf_V4.0/meshes/L_link3.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/L_link3.STL,,包胶轮urdf-2,坐标系12,基准轴3,L_joint3,continuous,0.25,0,0.015,0,0,-1.5708,L_link2,0,0,1,100,1,-3.14,3.14,,,,,,,,
R_link1,0.062,-0.006,0.003,0,0,0,0.326,0.000518,0.00073,8.1E-05,0.003183,1.8E-05,0.003674,0,0,0,0,0,0,package://urdf_V4.0/meshes/R_link1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/R_link1.STL,,大腿摇杆镜像urdf-1;小腿摇杆1-1;小腿连杆2-1;小腿曲柄-1;小腿连杆1-1,坐标系13,基准轴4,R_joint1,continuous,-0.182798104713933,0,0.000832413955891113,1.57535002938105,0,1.5707963267949,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
R_link2,0.15963,8.3412E-05,-0.011927,0,0,0,0.45,0.000167,8.4E-05,-0.000192,0.0049,0,0.00496,0,0,0,0,0,0,package://urdf_V4.0/meshes/R_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/R_link2.STL,,小腿大杆urdf-1,坐标系14,基准轴5,R_jonit2,continuous,0.21,0,0,0,0,-2.3573,R_link1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
R_link3,0,0,-0.020472,0,0,0,0.2,0.000296,0,0,0.000296,0,0.000575,0,0,0,0,0,0,package://urdf_V4.0/meshes/R_link3.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://urdf_V4.0/meshes/R_link3.STL,,包胶轮urdf-1,坐标系15,基准轴6,R_joint3,continuous,0.249999999999996,0,-0.0150000000000006,0,0,3.14159265358979,R_link2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
